Episodio,Turno,Dados,Puntaje de Tirada,Puntaje Total,Acción
152,0,"[2, 2, 1, 5, 1, 2]",0,0,Plantarse
153,0,"[2, 5, 1, 6, 6, 4]",0,0,Plantarse
154,0,"[2, 4, 5, 4, 1, 5]",0,0,Plantarse
155,0,"[5, 5, 1, 3, 3, 4]",0,0,Plantarse
156,0,"[5, 6, 1, 2, 2, 6]",0,0,Plantarse
157,0,"[5, 5, 6, 6, 2, 5]",0,0,Plantarse
158,0,"[2, 2, 1, 2, 2, 6]",0,0,Plantarse
159,0,"[1, 1, 6, 4, 2, 2]",0,0,Plantarse
160,0,"[1, 3, 5, 6, 5, 4]",0,0,Plantarse
161,0,"[3, 6, 5, 3, 4, 1]",0,0,Plantarse
162,0,"[2, 2, 2, 1, 3, 1]",0,0,Plantarse
163,0,"[5, 1, 4, 3, 1, 1]",0,0,Plantarse
164,0,"[6, 3, 4, 6, 6, 3]",0,0,Plantarse
165,0,"[4, 5, 2, 5, 2, 2]",0,0,Plantarse
166,0,"[6, 3, 6, 1, 5, 4]",0,0,Plantarse
167,0,"[3, 1, 4, 3, 6, 2]",0,0,Plantarse
168,0,"[5, 5, 5, 3, 5, 1]",0,0,Plantarse
169,0,"[6, 4, 3, 1, 6, 6]",0,0,Plantarse
170,0,"[5, 5, 2, 6, 5, 1]",0,0,Plantarse
171,0,"[5, 3, 3, 2, 5, 2]",0,0,Plantarse
172,0,"[5, 5, 2, 1, 4, 6]",0,0,Plantarse
173,0,"[1, 3, 5, 4, 6, 6]",0,0,Plantarse
174,0,"[3, 2, 2, 3, 4, 5]",0,0,Plantarse
175,0,"[5, 3, 6, 5, 3, 4]",0,0,Plantarse
176,0,"[2, 6, 2, 6, 6, 3]",0,0,Plantarse
177,0,"[4, 5, 6, 5, 5, 2]",0,0,Plantarse
178,0,"[6, 2, 3, 3, 5, 1]",0,0,Plantarse
179,0,"[4, 1, 6, 5, 3, 3]",0,0,Plantarse
180,0,"[4, 3, 3, 4, 1, 4]",0,0,Plantarse
181,0,"[1, 1, 4, 2, 2, 5]",0,0,Plantarse
182,0,"[3, 5, 5, 6, 3, 4]",0,0,Plantarse
